run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_strategy	library_source	read_count	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
SRR22269317	PRJNA896722	SAMN31703555	SRX18245563	9606	Homo sapiens	Illumina HiSeq 2500	LID_9	WXS	GENOMIC	22348434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/017/SRR22269317/SRR22269317.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/017/SRR22269317/SRR22269317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/017/SRR22269317/SRR22269317_2.fastq.gz		KCLB18MES0289.recal.bam	Human sample from Homo sapiens	
SRR22269321	PRJNA896722	SAMN31703621	SRX18245559	9606	Homo sapiens	Illumina HiSeq 2500	LID_75	WXS	GENOMIC	36686828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/021/SRR22269321/SRR22269321.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/021/SRR22269321/SRR22269321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/021/SRR22269321/SRR22269321_2.fastq.gz		KCLB19MES0595.recal.bam	Human sample from Homo sapiens	
SRR22269323	PRJNA896722	SAMN31703619	SRX18245557	9606	Homo sapiens	Illumina HiSeq 2500	LID_73	WXS	GENOMIC	30600449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/023/SRR22269323/SRR22269323.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/023/SRR22269323/SRR22269323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/023/SRR22269323/SRR22269323_2.fastq.gz		KCLB19MES0593.recal.bam	Human sample from Homo sapiens	
SRR22269326	PRJNA896722	SAMN31703554	SRX18245554	9606	Homo sapiens	Illumina HiSeq 2500	LID_8	WXS	GENOMIC	43595909	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/026/SRR22269326/SRR22269326.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/026/SRR22269326/SRR22269326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/026/SRR22269326/SRR22269326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR222/SRR22269326/KCLB18MES0288.recal.bam.1;ftp.sra.ebi.ac.uk/vol1/run/SRR222/SRR22269326/KCLB18MES0288.recal.bam.1.bai	KCLB18MES0288.recal.bam	Human sample from Homo sapiens	
SRR22269327	PRJNA896722	SAMN31703616	SRX18245553	9606	Homo sapiens	Illumina HiSeq 2500	LID_70	WXS	GENOMIC	36163249	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/027/SRR22269327/SRR22269327.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/027/SRR22269327/SRR22269327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/027/SRR22269327/SRR22269327_2.fastq.gz		KCLB19MES0590.recal.bam	Human sample from Homo sapiens	
SRR22269328	PRJNA896722	SAMN31703615	SRX18245552	9606	Homo sapiens	Illumina HiSeq 2500	LID_69	WXS	GENOMIC	36668326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/028/SRR22269328/SRR22269328.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/028/SRR22269328/SRR22269328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/028/SRR22269328/SRR22269328_2.fastq.gz		KCLB19MES0589.recal.bam	Human sample from Homo sapiens	
SRR22269329	PRJNA896722	SAMN31703614	SRX18245551	9606	Homo sapiens	Illumina HiSeq 2500	LID_68	WXS	GENOMIC	36748192	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/029/SRR22269329/SRR22269329.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/029/SRR22269329/SRR22269329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/029/SRR22269329/SRR22269329_2.fastq.gz		KCLB19MES0588.recal.bam	Human sample from Homo sapiens	
SRR22269332	PRJNA896722	SAMN31703611	SRX18245548	9606	Homo sapiens	Illumina HiSeq 2500	LID_65	WXS	GENOMIC	42220820	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/032/SRR22269332/SRR22269332.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/032/SRR22269332/SRR22269332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/032/SRR22269332/SRR22269332_2.fastq.gz		KCLB19MES0585.recal.bam	Human sample from Homo sapiens	
SRR22269333	PRJNA896722	SAMN31703610	SRX18245547	9606	Homo sapiens	Illumina HiSeq 2500	LID_64	WXS	GENOMIC	34461231	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/033/SRR22269333/SRR22269333.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/033/SRR22269333/SRR22269333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/033/SRR22269333/SRR22269333_2.fastq.gz		KCLB19MES0583.recal.bam	Human sample from Homo sapiens	
SRR22269334	PRJNA896722	SAMN31703609	SRX18245546	9606	Homo sapiens	Illumina HiSeq 2500	LID_63	WXS	GENOMIC	36262100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/034/SRR22269334/SRR22269334.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/034/SRR22269334/SRR22269334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/034/SRR22269334/SRR22269334_2.fastq.gz		KCLB19MES0582.recal.bam	Human sample from Homo sapiens	
