cell_line	kclb_number	sample_type	sample_alias	fastq_run	fastq_sample_accession	read_count	instrument_model	library_name	bam_run	bam_sample_accession
SNU-3978	03978	tumor	KCLB18MES0281	SRR22272553	SAMN31563409	68343813	Illumina HiSeq 2500	LID_1	SRR22269393	SAMN31703547
SNU-3978	03978	blood	KCLB18MES0282	SRR22272521	SAMN31563411	33977317	Illumina HiSeq 2500	LID_3	SRR22269392	SAMN31703548
SNU-3978	03978	cell_line	KCLB18MES0283	SRR22272510	SAMN31563413	35228049	Illumina HiSeq 2500	LID_5	SRR22269381	SAMN31703549
SNU-3980	03980	tumor	KCLB18MES0284	SRR22272499	SAMN31563415	70928116	Illumina HiSeq 2500	LID_7	SRR22269370	SAMN31703550
SNU-3980	03980	blood	KCLB18MES0285	SRR22272487	SAMN31563417	30426083	Illumina HiSeq 2500	LID_9	SRR22269359	SAMN31703551
SNU-3980	03980	cell_line	KCLB18MES0286	SRR22272552	SAMN31563419	33796602	Illumina HiSeq 2500	LID_11	SRR22269348	SAMN31703552
SNU-3987	03987	tumor	KCLB18MES0287	SRR22272538	SAMN31563421	77028217	Illumina HiSeq 2500	LID_13	SRR22269337	SAMN31703553
SNU-3987	03987	blood	KCLB18MES0288	SRR22272532	SAMN31563423	32165018	Illumina HiSeq 2500	LID_15	SRR22269326	SAMN31703554
SNU-3987	03987	cell_line	KCLB18MES0289	SRR22272512	SAMN31563425	29704062	Illumina HiSeq 2500	LID_17	SRR22269317	SAMN31703555
SNU-4026	04026	tumor	KCLB18MES0290	SRR22272511	SAMN31563427	72371852	Illumina HiSeq 2500	LID_19	SRR22269316	SAMN31703556
SNU-4026	04026	blood	KCLB18MES0291	SRR22272520	SAMN31563429	30919035	Illumina HiSeq 2500	LID_21	SRR22269391	SAMN31703557
SNU-4026	04026	cell_line	KCLB18MES0292	SRR22272519	SAMN31563431	36575146	Illumina HiSeq 2500	LID_23	SRR22269390	SAMN31703558
SNU-4054	04054	tumor	KCLB18MES0293	SRR22272518	SAMN31563433	76169625	Illumina HiSeq 2500	LID_25	SRR22269389	SAMN31703559
SNU-4054	04054	blood	KCLB18MES0294	SRR22272517	SAMN31563435	32930587	Illumina HiSeq 2500	LID_27	SRR22269388	SAMN31703560
SNU-4054	04054	cell_line	KCLB18MES0295	SRR22272516	SAMN31563437	31396505	Illumina HiSeq 2500	LID_29	SRR22269387	SAMN31703561
SNU-4071	04071	tumor	KCLB18MES0296	SRR22272515	SAMN31563439	67195420	Illumina HiSeq 2500	LID_31	SRR22269386	SAMN31703562
SNU-4071	04071	blood	KCLB18MES0297	SRR22272514	SAMN31563441	35615988	Illumina HiSeq 2500	LID_33	SRR22269385	SAMN31703563
SNU-4071	04071	cell_line	KCLB18MES0298	SRR22272513	SAMN31563443	36109270	Illumina HiSeq 2500	LID_35	SRR22269384	SAMN31703564
SNU-4072	04072	tumor	KCLB18MES0299	SRR22272502	SAMN31563445	65522278	Illumina HiSeq 2500	LID_37	SRR22269383	SAMN31703565
SNU-4072	04072	blood	KCLB18MES0300	SRR22272501	SAMN31563447	33249627	Illumina HiSeq 2500	LID_39	SRR22269382	SAMN31703566
SNU-4072	04072	cell_line	KCLB18MES0301	SRR22272509	SAMN31563449	34197470	Illumina HiSeq 2500	LID_41	SRR22269380	SAMN31703567
SNU-4098	04098	tumor	KCLB18MES0302	SRR22272508	SAMN31563451	80280235	Illumina HiSeq 2500	LID_43	SRR22269379	SAMN31703568
SNU-4098	04098	blood	KCLB18MES0303	SRR22272507	SAMN31563453	39668447	Illumina HiSeq 2500	LID_45	SRR22269378	SAMN31703569
SNU-4098	04098	cell_line	KCLB18MES0304	SRR22272506	SAMN31563455	46501514	Illumina HiSeq 2500	LID_47	SRR22269377	SAMN31703570
SNU-4116	04116	tumor	KCLB18MES0305	SRR22272505	SAMN31563457	72162573	Illumina HiSeq 2500	LID_49	SRR22269376	SAMN31703571
SNU-4116	04116	blood	KCLB18MES0306	SRR22272504	SAMN31563459	33395338	Illumina HiSeq 2500	LID_51	SRR22269375	SAMN31703572
SNU-4116	04116	cell_line	KCLB18MES0307	SRR22272503	SAMN31563461	46138086	Illumina HiSeq 2500	LID_53	SRR22269374	SAMN31703573
SNU-4137	04137	tumor	KCLB18MES0362	SRR22272491	SAMN31563463	69853429	Illumina HiSeq 2500	LID_55	SRR22269373	SAMN31703574
SNU-4137	04137	blood	KCLB18MES0363	SRR22272490	SAMN31563465	33780720	Illumina HiSeq 2500	LID_57	SRR22269372	SAMN31703575
SNU-4137	04137	cell_line	KCLB18MES0364	SRR22272489	SAMN31563467	37794342	Illumina HiSeq 2500	LID_59	SRR22269371	SAMN31703576
SNU-4138	04138	tumor	KCLB18MES0365	SRR22272498	SAMN31563469	82613260	Illumina HiSeq 2500	LID_61	SRR22269369	SAMN31703577
SNU-4138	04138	blood	KCLB18MES0366	SRR22272497	SAMN31563471	37291070	Illumina HiSeq 2500	LID_63	SRR22269368	SAMN31703578
SNU-4138	04138	cell_line	KCLB18MES0367	SRR22272496	SAMN31563473	30226921	Illumina HiSeq 2500	LID_65	SRR22269367	SAMN31703579
SNU-4177	04177	tumor	KCLB18MES0368	SRR22272495	SAMN31563475	65239235	Illumina HiSeq 2500	LID_67	SRR22269366	SAMN31703580
SNU-4177	04177	blood	KCLB18MES0369	SRR22272494	SAMN31563477	37982812	Illumina HiSeq 2500	LID_69	SRR22269365	SAMN31703581
SNU-4177	04177	cell_line	KCLB18MES0370	SRR22272493	SAMN31563479	34224972	Illumina HiSeq 2500	LID_71	SRR22269364	SAMN31703582
