sample_id	cell_line	kclb_number	sample_type	run	r1	r2
SNU-3978_tumor	SNU-3978	03978	tumor	SRR22272553	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272553_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272553_2.fastq.gz
SNU-3978_blood	SNU-3978	03978	blood	SRR22272521	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272521_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272521_2.fastq.gz
SNU-3978_cell_line	SNU-3978	03978	cell_line	SRR22272510	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272510_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272510_2.fastq.gz
SNU-3980_tumor	SNU-3980	03980	tumor	SRR22272499	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272499_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272499_2.fastq.gz
SNU-3980_blood	SNU-3980	03980	blood	SRR22272487	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272487_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272487_2.fastq.gz
SNU-3980_cell_line	SNU-3980	03980	cell_line	SRR22272552	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272552_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272552_2.fastq.gz
SNU-3987_tumor	SNU-3987	03987	tumor	SRR22272538	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272538_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272538_2.fastq.gz
SNU-3987_blood	SNU-3987	03987	blood	SRR22272532	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272532_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272532_2.fastq.gz
SNU-3987_cell_line	SNU-3987	03987	cell_line	SRR22272512	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272512_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272512_2.fastq.gz
SNU-4026_tumor	SNU-4026	04026	tumor	SRR22272511	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272511_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272511_2.fastq.gz
SNU-4026_blood	SNU-4026	04026	blood	SRR22272520	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272520_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272520_2.fastq.gz
SNU-4026_cell_line	SNU-4026	04026	cell_line	SRR22272519	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272519_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272519_2.fastq.gz
SNU-4054_tumor	SNU-4054	04054	tumor	SRR22272518	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272518_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272518_2.fastq.gz
SNU-4054_blood	SNU-4054	04054	blood	SRR22272517	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272517_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272517_2.fastq.gz
SNU-4054_cell_line	SNU-4054	04054	cell_line	SRR22272516	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272516_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272516_2.fastq.gz
SNU-4071_tumor	SNU-4071	04071	tumor	SRR22272515	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272515_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272515_2.fastq.gz
SNU-4071_blood	SNU-4071	04071	blood	SRR22272514	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272514_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272514_2.fastq.gz
SNU-4071_cell_line	SNU-4071	04071	cell_line	SRR22272513	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272513_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272513_2.fastq.gz
SNU-4072_tumor	SNU-4072	04072	tumor	SRR22272502	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272502_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272502_2.fastq.gz
SNU-4072_blood	SNU-4072	04072	blood	SRR22272501	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272501_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272501_2.fastq.gz
SNU-4072_cell_line	SNU-4072	04072	cell_line	SRR22272509	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272509_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272509_2.fastq.gz
SNU-4098_tumor	SNU-4098	04098	tumor	SRR22272508	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272508_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272508_2.fastq.gz
SNU-4098_blood	SNU-4098	04098	blood	SRR22272507	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272507_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272507_2.fastq.gz
SNU-4098_cell_line	SNU-4098	04098	cell_line	SRR22272506	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272506_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272506_2.fastq.gz
SNU-4116_tumor	SNU-4116	04116	tumor	SRR22272505	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272505_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/total/SRR22272505_2.fastq.gz
