sample_id	cell_line	kclb_number	sample_type	run	r1	r2
SNU-3987_tumor	SNU-3987	03987	tumor	SRR22272538	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272538_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272538_2.fastq.gz
SNU-3987_blood	SNU-3987	03987	blood	SRR22272532	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272532_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272532_2.fastq.gz
SNU-3987_cell_line	SNU-3987	03987	cell_line	SRR22272512	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272512_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272512_2.fastq.gz
SNU-4054_tumor	SNU-4054	04054	tumor	SRR22272518	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272518_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272518_2.fastq.gz
SNU-4054_blood	SNU-4054	04054	blood	SRR22272517	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272517_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272517_2.fastq.gz
SNU-4054_cell_line	SNU-4054	04054	cell_line	SRR22272516	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272516_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272516_2.fastq.gz
SNU-4071_tumor	SNU-4071	04071	tumor	SRR22272515	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272515_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272515_2.fastq.gz
SNU-4071_blood	SNU-4071	04071	blood	SRR22272514	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272514_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272514_2.fastq.gz
SNU-4071_cell_line	SNU-4071	04071	cell_line	SRR22272513	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272513_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272513_2.fastq.gz
SNU-4072_tumor	SNU-4072	04072	tumor	SRR22272502	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272502_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272502_2.fastq.gz
SNU-4072_blood	SNU-4072	04072	blood	SRR22272501	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272501_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272501_2.fastq.gz
SNU-4072_cell_line	SNU-4072	04072	cell_line	SRR22272509	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272509_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272509_2.fastq.gz
SNU-4098_tumor	SNU-4098	04098	tumor	SRR22272508	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272508_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272508_2.fastq.gz
SNU-4098_blood	SNU-4098	04098	blood	SRR22272507	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272507_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272507_2.fastq.gz
SNU-4098_cell_line	SNU-4098	04098	cell_line	SRR22272506	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272506_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272506_2.fastq.gz
SNU-5026_tumor	SNU-5026	05026	tumor	SRR22272529	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272529_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272529_2.fastq.gz
SNU-5026_blood	SNU-5026	05026	blood	SRR22272528	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272528_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272528_2.fastq.gz
SNU-5026_cell_line	SNU-5026	05026	cell_line	SRR22272527	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272527_1.fastq.gz	/work/class/bme282.2026/pub/PRJNA896722/six/SRR22272527_2.fastq.gz
